team_key,espn_teams,odds_teams
Gimnasia y Tiro (Salta),Gimnasia y Tiro (Salta),
Girona,Girona,Girona
Go Ahead Eagles,Go Ahead Eagles,Go Ahead Eagles
Godoy Cruz Antonio Tomba,Godoy Cruz Antonio Tomba,Godoy Cruz
Goiás,Goiás,Goiás
Goiás S20,Goiás S20,
Golden Arrows,Golden Arrows,
Goztepe,Goztepe,Goztepe
Granada,Granada,Granada CF
Granadilla Tenerife,Granadilla Tenerife,
Grasshoppers,Grasshoppers,Grasshopper Zürich
Grazer AK,Grazer AK,Grazer AK
Greece,Greece,
Greenock Morton,Greenock Morton,
Greifswalder SC,Greifswalder SC,
Grêmio,Grêmio,Grêmio
Grêmio S20,Grêmio S20,
Grenada,Grenada,
Grenoble,Grenoble,Grenoble
Grimsby Town,Grimsby Town,Grimsby Town
Guabirá,Guabirá,
Guadalajara,Guadalajara,Guadalajara
Guadeloupe,Guadeloupe,
Guarani,Guarani,Guarani
Guastatoya,Guastatoya,
Guatemala,Guatemala,
Güemes,Güemes,
Guillermo Brown,Guillermo Brown,
Guimaraes,Guimaraes,
Guinea-Bisáu S23,Guinea-Bisáu S23,
Guingamp,Guingamp,Guingamp
Guyana,Guyana,
GV San José,GV San José,
Gwangju FC,Gwangju FC,Gwangju FC
Hallescher FC,Hallescher FC,
Hamburg SV,Hamburg SV,Hamburger SV
Hamilton Academical,Hamilton Academical,
Hannover 96,Hannover 96,Hannover 96
Hansa Rostock,Hansa Rostock,Hansa Rostock
Harrogate Town,Harrogate Town,Harrogate Town
Hatayspor,Hatayspor,Hatayspor
Heart of Midlothian,Heart of Midlothian,Hearts
Heerenveen,Heerenveen,Heerenveen
Hellas Verona,Hellas Verona,Hellas Verona
Helmond Sport,Helmond Sport,
Henan Songshan Longmen,Henan Songshan Longmen,
Heracles Almelo,Heracles Almelo,Heracles Almelo
Herediano,Herediano,
Hertha Berlin,Hertha Berlin,Hertha Berlin
Hibernian,Hibernian,Hibernian
Highbury,Highbury,
Holstein Kiel,Holstein Kiel,Holstein Kiel
Honduras,Honduras,
Hong Kong,Hong Kong,
Houston Dash,Houston Dash,
Houston Dynamo FC,Houston Dynamo FC,Houston Dynamo
Huachipato,Huachipato,Huachipato
Huddersfield Town,Huddersfield Town,Huddersfield Town
Huesca,Huesca,SD Huesca
Hull City,Hull City,Hull City
Hungary,Hungary,
Hungry Lions,Hungry Lions,
Huracán,Huracán,Atlético Huracán
Iceland,Iceland,
IF Elfsborg,IF Elfsborg,IF Elfsborg
Imbabura,Imbabura,
Independiente,Independiente,Independiente
Independiente del Valle,Independiente del Valle,
Independiente Medellín,Independiente Medellín,
